dataid,egauge_min_time,egauge_max_time
26,1351900800.0,1512208740.0
77,1402030800.0,1500798840.0
93,1355011200.0,1512205140.0
114,1381881600.0,1512203460.0
171,1336003200.0,1512205140.0
187,1337126400.0,1510576320.0
252,1355270400.0,1512205140.0
330,1493596800.0,1512208740.0
364,1398834000.0,1449813600.0
370,1341982800.0,1512215940.0
379,1443243600.0,1512219540.0
434,1361826060.0,1512221700.0
483,1435035600.0,1510567140.0
499,1381449600.0,1512210660.0
545,1344816000.0,1512210660.0
555,1347926400.0,1406851140.0
585,1325397600.0,1512122340.0
624,1351382400.0,1498723140.0
661,1378598400.0,1512212340.0
668,1411016400.0,1512208740.0
744,1325397600.0,1512210780.0
781,1405659600.0,1512208740.0
861,1332201600.0,1448927940.0
890,1336003200.0,1512218040.0
936,1381363200.0,1460890740.0
974,1405141200.0,1512205140.0
991,1335938400.0,1346389200.0
1103,1336003200.0,1512215940.0
1153,1355270400.0,1427000340.0
1169,1336780800.0,1512208020.0
1185,1337731200.0,1512215940.0
1192,1347926400.0,1512207180.0
1283,1336003200.0,1492001940.0
1354,1452664800.0,1512217920.0
1415,1405400400.0,1512218100.0
1464,1350691200.0,1394063940.0
1508,1355270400.0,1435822320.0
1601,1336780800.0,1414454340.0
1642,1336780800.0,1512215940.0
1697,1337990400.0,1512212340.0
1714,1344470400.0,1512215940.0
1718,1337126400.0,1512212340.0
1782,1337666400.0,1404691140.0
1790,1399006800.0,1488326340.0
1791,1394686800.0,1473688740.0
1792,1336003200.0,1512210720.0
1800,1355270400.0,1512122340.0
1801,1351382400.0,1501066740.0
2018,1384387200.0,1512215940.0
2072,1337126400.0,1512213420.0
2094,1336003200.0,1510561920.0
2129,1337126400.0,1512214320.0
2199,1337126400.0,1512212340.0
2233,1336003200.0,1510664340.0
2335,1338008400.0,1510574340.0
2337,1336780800.0,1512203460.0
2361,1399957200.0,1512212340.0
2461,1398142800.0,1512212340.0
2470,1342726920.0,1512221820.0
2557,1358812800.0,1512212340.0
2575,1352440800.0,1507635360.0
2742,1360368000.0,1480861860.0
2755,1336003200.0,1497092340.0
2814,1337040000.0,1512207420.0
2818,1350777600.0,1510577940.0
2864,1349481600.0,1439455440.0
2925,1337126400.0,1512212340.0
2945,1337126400.0,1510574340.0
2965,1338440400.0,1512212340.0
2980,1336003200.0,1512215940.0
2986,1337126400.0,1511948160.0
3009,1393200000.0,1512210780.0
3036,1342155600.0,1512215940.0
3039,1351296000.0,1512208740.0
3044,1395464400.0,1503737940.0
3126,1423720800.0,1481535120.0
3134,1347926400.0,1512212340.0
3192,1337666400.0,1468753140.0
3224,1336003200.0,1440748740.0
3310,1414994400.0,1512212340.0
3367,1351382400.0,1512212340.0
3456,1350691200.0,1510649940.0
3506,1408165200.0,1512221880.0
3527,1336003200.0,1512221700.0
3538,1398488400.0,1510570740.0
3544,1336003200.0,1427813940.0
3632,1335938400.0,1369976400.0
3635,1337126400.0,1508407140.0
3649,1364446800.0,1512215940.0
3719,1337126400.0,1508075940.0
3723,1338322140.0,1512205140.0
3736,1367971200.0,1512220140.0
3829,1381363200.0,1512205140.0
3849,1409202000.0,1512208740.0
3918,1347926400.0,1498390020.0
3935,1337126400.0,1485623040.0
3964,1337644800.0,1381708740.0
3967,1337126400.0,1512219540.0
4031,1351987200.0,1510657140.0
4135,1353628800.0,1433231280.0
4154,1345766400.0,1484290080.0
4193,1336003200.0,1497776340.0
4296,1372636800.0,1510415940.0
4297,1395205200.0,1512212340.0
4302,1347926400.0,1443425820.0
4336,1376456400.0,1512212340.0
4357,1336003200.0,1512219540.0
4373,1338508800.0,1510657140.0
4447,1336003200.0,1512208740.0
4514,1372309200.0,1512215700.0
4526,1345334400.0,1512219540.0
4732,1400907600.0,1512205140.0
4767,1341964800.0,1510649940.0
4874,1372204800.0,1505373240.0
4922,1360886400.0,1435219140.0
4957,1342587600.0,1501325940.0
5035,1408424400.0,1512217980.0
5129,1332201600.0,1512205140.0
5218,1346457600.0,1512219540.0
5246,1336003200.0,1512218040.0
5275,1336003200.0,1512214260.0
5357,1348790400.0,1512219540.0
5395,1351814400.0,1512208740.0
5403,1337731200.0,1510588740.0
5438,1335938400.0,1346302800.0
5439,1336003200.0,1512219540.0
5450,1437800400.0,1512208740.0
5545,1372723200.0,1512214260.0
5615,1336003200.0,1512217980.0
5738,1336003200.0,1512212340.0
5749,1425708000.0,1512208740.0
5784,1433566800.0,1512219540.0
5785,1336003200.0,1506069060.0
5786,1378944000.0,1495796340.0
5796,1336003200.0,1512219540.0
5817,1336003200.0,1451541600.0
5874,1355011200.0,1512215940.0
5892,1336003200.0,1512221580.0
5921,1402376400.0,1512203460.0
5972,1350604800.0,1510577940.0
6061,1392163200.0,1512215940.0
6063,1405486800.0,1512208740.0
6121,1345075200.0,1512117180.0
6139,1347753600.0,1512219540.0
6248,1425535200.0,1512208740.0
6266,1336003200.0,1512219540.0
6348,1405141200.0,1506167940.0
6412,1352440800.0,1512205440.0
6423,1336003200.0,1512217680.0
6545,1336003200.0,1396155600.0
6643,1336003200.0,1495180740.0
6691,1394085600.0,1512207480.0
6836,1395810000.0,1510653540.0
6871,1337904000.0,1434008760.0
6941,1351641600.0,1497175140.0
6979,1336716000.0,1371099600.0
6990,1342197900.0,1510657140.0
7016,1336003200.0,1512214380.0
7017,1390521600.0,1512208740.0
7030,1375747200.0,1512208740.0
7036,1409356800.0,1422251940.0
7108,1337385600.0,1512221520.0
7240,1336003200.0,1381103940.0
7429,1336003200.0,1512219540.0
7504,1355270400.0,1512208740.0
7510,1345248000.0,1469599140.0
7536,1351209600.0,1510655640.0
7541,1496275200.0,1512212340.0
7560,1408424400.0,1512215940.0
7627,1336003200.0,1512212340.0
7680,1352246400.0,1512210780.0
7719,1400130000.0,1510588740.0
7731,1336003200.0,1512205140.0
7739,1336003200.0,1512221700.0
7767,1336003200.0,1512212340.0
7788,1382659200.0,1512213780.0
7793,1398315600.0,1488537240.0
7800,1346544000.0,1512205140.0
7850,1337126400.0,1512212340.0
7863,1342828800.0,1457170800.0
7875,1359093600.0,1512205140.0
7900,1400025600.0,1512214200.0
7940,1355270400.0,1512208740.0
7965,1386050400.0,1512210660.0
7982,1361577600.0,1415923140.0
7989,1346976000.0,1512205140.0
8046,1376265600.0,1512205140.0
8047,1366088400.0,1396846800.0
8059,1408770000.0,1512215940.0
8084,1336003200.0,1512208740.0
8086,1389657600.0,1512205140.0
8092,1361664000.0,1512133140.0
8155,1336003200.0,1448879460.0
8156,1402462800.0,1510649940.0
8197,1380412800.0,1512205140.0
8236,1353196800.0,1512215940.0
8243,1403308800.0,1512219540.0
8419,1345248000.0,1512221820.0
8467,1366588800.0,1512205140.0
8597,1351296000.0,1413935940.0
8626,1337126400.0,1512122340.0
8645,1361944800.0,1512212340.0
8669,1342798260.0,1472212740.0
8741,1362614400.0,1473857940.0
8767,1394773200.0,1512207420.0
8829,1337126400.0,1512210780.0
8857,1424412000.0,1512205140.0
8872,1335938400.0,1370843940.0
8890,1336003200.0,1457081940.0
8967,1336003200.0,1512219540.0
8995,1407474000.0,1512212340.0
9001,1419919200.0,1512205140.0
9019,1348185600.0,1512208740.0
9052,1347926400.0,1512212340.0
9121,1347926400.0,1512208740.0
9134,1398834000.0,1512207960.0
9160,1336003200.0,1512215940.0
9235,1437663060.0,1512221220.0
9248,1384560000.0,1489244340.0
9278,1397001600.0,1505462340.0
9451,1335938400.0,1373522340.0
9509,1336003200.0,1391644740.0
9631,1337126400.0,1509177540.0
9647,1383004800.0,1512205140.0
9729,1350950400.0,1510577940.0
9737,1346371200.0,1512212340.0
9932,1401512400.0,1512212340.0
9935,1409288400.0,1512197940.0
9937,1351641600.0,1512219540.0
9939,1355788800.0,1512215940.0
9942,1379203200.0,1488531540.0
9971,1391644800.0,1512214260.0
9982,1351086720.0,1510570740.0
